city	lng	lat
阿坝藏族羌族自治州	102.2248	31.8994
阿克苏地区	80.2601	41.1684
阿拉尔	81.2807	40.548
阿拉善盟	105.729	38.8516
阿勒泰地区	88.1402	47.8457
阿里地区	81.1454	30.4005
安康	109.0293	32.6848
安庆	117.0635	30.5429
安顺	105.9462	26.2537
安阳	114.3931	36.0978
鞍山	122.9946	41.1077
巴彦淖尔	107.3877	40.7432
巴音郭楞蒙古自治州	86.1452	41.7641
巴中	106.7514	31.8634
白城	122.8388	45.6195
白沙黎族自治县	109.4517	19.2255
白山	126.4244	41.9408
白银	104.1378	36.5448
百色	106.6184	23.9021
蚌埠	117.3893	32.9156
包头	109.8402	40.6579
宝鸡	107.2373	34.362
保定	115.4646	38.874
保山	99.1618	25.112
保亭黎族苗族自治县	109.7026	18.6391
北海	109.1201	21.4812
北京	116.4072	39.9047
本溪	123.7669	41.2941
毕节	105.2939	27.2969
滨州	117.9727	37.3821
亳州	115.7793	33.8445
博尔塔拉蒙古自治州	82.0666	44.906
沧州	116.8387	38.3043
昌都	97.1791	31.1344
昌都地区	97.1791	31.1344
昌吉回族自治州	87.3082	44.0112
昌江黎族自治县	109.0556	19.2983
常德	111.6985	29.0316
常熟	121.4502	31.2137
常州	119.9736	31.8107
巢湖	119.972	31.8195
朝阳	120.1361	31.7843
潮州	116.6229	23.6567
郴州	113.0148	25.7706
成都	104.0648	30.5702
承德	117.9634	40.9515
澄迈县	110.0048	19.7385
池州	117.4914	30.6648
赤峰	118.889	42.2585
崇左	107.3508	22.4097
滁州	118.3168	32.3018
楚雄彝族自治州	101.5277	25.0449
达州	107.4679	31.2087
大理白族自治州	100.2676	25.6065
大连	121.6147	38.9137
大庆	125.1031	46.5876
大同	124.8105	46.0391
大兴安岭地区	124.5921	51.9241
丹东	124.3321	40.1227
儋州	109.5808	19.5211
德宏傣族景颇族自治州	98.5849	24.4323
德阳	104.3979	31.1268
德州	116.3593	37.4354
迪庆藏族自治州	99.703	27.8191
定安县	110.3593	19.6811
定西	104.6202	35.5799
东方	108.6537	19.0961
东莞	113.7518	23.0207
东营	118.6746	37.4336
都匀	107.5187	26.2598
鄂尔多斯	109.7809	39.6084
鄂州	114.895	30.3909
恩施土家族苗族自治州	109.4882	30.2721
防城港	108.3547	21.6871
佛山	113.1219	23.0218
福州	119.2965	26.0742
抚顺	123.9572	41.8797
抚州	116.3581	27.9478
阜新	121.6701	42.0216
阜阳	115.8149	32.8896
甘南藏族自治州	102.911	34.9833
甘孜藏族自治州	101.9625	30.0493
赣州	114.9347	25.8311
高雄市	120.3113	22.6168
高州	110.8534	21.9181
固原	106.2426	36.0158
广安	106.6332	30.456
广元	105.8436	32.4355
广州	113.2644	23.1291
贵港	109.5977	23.113
贵阳	106.6302	26.647
桂林	110.29	25.2736
果洛藏族自治州	100.2448	34.4714
哈尔滨	126.5358	45.8022
哈密地区	93.5163	42.8187
海北藏族自治州	100.901	36.9545
海东	102.0786	36.5117
海口	110.1999	20.0443
海南藏族自治州	100.6202	36.2864
海西蒙古族藏族自治州	97.3712	37.3771
邯郸	114.5392	36.6256
汉中	107.0391	33.0753
杭州	120.1552	30.2741
合肥	117.229	31.8205
和田地区	79.9225	37.1143
河池	108.0854	24.6929
河源	114.7006	23.7436
菏泽	115.4811	35.2337
贺州	111.5666	24.4035
鹤壁	114.2974	35.747
鹤岗	130.2978	47.3499
黑河	127.5283	50.2451
衡水	115.6702	37.7389
衡阳	112.572	26.8934
红河哈尼族彝族自治州	103.3748	23.3631
呼和浩特	111.7492	40.8426
呼伦贝尔	119.7657	49.2116
葫芦岛	120.8369	40.711
湖州	120.0868	30.8943
花莲县	121.6016	23.9872
怀化	110.0019	27.5695
淮安	119.0159	33.6102
淮北	116.7897	33.9539
淮南	117.0122	32.6366
黄冈	114.8724	30.4535
黄南藏族自治州	102.0151	35.5199
黄山	118.1683	30.1273
黄石	115.0389	30.1994
惠州	114.4168	23.1107
鸡西	130.9354	45.3153
基隆市	121.7476	25.1429
吉安	114.9937	27.1138
吉林市	126.5495	43.8378
吉首	109.6981	28.2625
济南	117.12	36.6512
济宁	116.5872	35.415
济源	112.6019	35.0672
佳木斯	130.3189	46.7998
嘉兴	120.7585	30.7539
嘉义县	120.2555	23.4518
嘉义市	120.2555	23.4518
嘉峪关	98.2901	39.772
江门	113.0816	22.5787
焦作	113.242	35.2156
揭阳	116.3727	23.5497
金昌	102.1876	38.5201
金华	119.6476	29.0781
锦州	121.127	41.0951
晋城	112.8511	35.4904
晋中	112.7319	37.6877
荆门	112.1995	31.0355
荆州	112.2407	30.3349
景德镇	117.1784	29.2687
九江	116.0015	29.7054
酒泉	98.4939	39.7326
句容	119.1686	31.9449
喀什地区	75.9897	39.4704
开封	114.3073	34.7973
凯里	107.9804	26.5675
克拉玛依	84.8893	45.58
克孜勒苏柯尔克孜自治州	76.1666	39.7153
昆明	102.8332	24.8797
昆山	120.9818	31.3848
拉萨	91.1145	29.6441
来宾	109.2224	23.7521
莱芜	117.6766	36.2136
