1,#复旦学子为投毒者求情#177名复旦学子联名为凶手求情。你怎么看 杀人事实客观存在，应该维持并执行死刑判决 。杀人就该偿命！有悔改之意又怎样？杀人是事实，事实已经存在，伤害也已经造成。有人求情就宽大处理，以后都这样，那要警察干嘛？要法律有何用？ 详情:http://t.cn/8sehB4T
2,#复旦学子为投毒者求情#177名复旦学子联名为凶手求情。你怎么看 杀人事实客观存在，应该维持并执行死刑判决 。规则存在，就必然执行，如果不是，就没有指定的必要。 详情:http://t.cn/8sehB4T
3,#复旦学子为投毒者求情# 杀人事实客观存在，应该维持并执行死刑判决 想起药家鑫事件，难道177名学生就要让法律让步吗？读那么多书读的什么，更重要的是投毒者本有机会阻止事件的发生，但他却没做，你说他本性不坏，做很多好事，但动机有了，杀人事实存在了，就该用法来治 详情:http://t.cn/8sehB4T
4,#复旦学子为投毒者求情#177名复旦学子联名为凶手求情。你怎么看 杀人事实客观存在，应该维持并执行死刑判决 人家父母辛辛苦苦把自己的孩子养到成才，就这么没了。应该维持并执行死刑判决。 详情:http://t.cn/8sehB4T
5,#复旦学子为投毒者求情#177名复旦学子联名为凶手求情。你怎么看 杀人事实客观存在，应该维持并执行死刑判决  这个世界还是客观点好 才不会因为人情隐情什么的引发唧唧歪歪的后续 详情:http://t.cn/8sehB4T
6,#复旦学子为投毒者求情#177名复旦学子联名为凶手求情。你怎么看 杀人事实客观存在，应该维持并执行死刑判决  我怎么也不能想象，身边有这样的人存在，更何况，作为一名医务工作者。 详情:http://t.cn/8sehB4T
7,#复旦学子为投毒者求情# 177名复旦学子联名为凶手求情。你怎么看 杀人事实客观存在，应该维持并执行死刑判决   雖然法律不外呼人情，但是不是用在這上面的。這案件本身就存在主觀故意，不管犯罪者甚麽身份甚麽原因，都不應該有特權，不然怎麼對得起受害者還有他的家屬 详情:http://t.cn/8sehB4T
8,#复旦学子为投毒者求情#177名复旦学子联名为凶手求情。你怎么看 杀人事实客观存在，应该维持并执行死刑判决。 罔顾法律尊严的177复旦学子，你们这不是人性的体现，而是放纵罪恶。客观主观要件齐全，死刑的判决是给逝者以及其家属的交代。 详情:http://t.cn/8sehB4T
9,#复旦学子为投毒者求情#177名复旦学子联名为凶手求情。你怎么看 杀人事实客观存在，应该维持并执行死刑判决 ！应对@复旦大学 提起公诉，罪名为渎职和失职，罪证：复旦在校学生害死黄山民警、复旦学生投毒杀人等，这都证明了复旦大学在教育学生方面存在严重渎职和失职行为！ 详情:http://t.cn/8sehB4T
10,客观原因不是减刑的依据～残忍暴力'严惩不怠才是'依法治国乃根本～执法不严～必留隐患～强烈支持死刑判决#复旦学子为投毒者求情# 177名复旦学子联名为凶手求情。你怎么看 杀人事实客观存在，应该维持并执行死刑判决 详情:http://t.cn/8sehB4T
11,#复旦学子为投毒者求情#177名复旦学子联名为凶手求情。 杀人事实客观存在，应该维持并执行死刑判决 中国的法律本来就不够完善  存在很多漏洞  若是杀人犯都可以免除死刑  那其他犯罪是不是可以更轻判决  要为自己犯的错误承担后果  无外乎人情  若是杀人犯得到同情，死者呢 详情:http://t.cn/8sehB4T...
12,#复旦学子为投毒者求情#177名复旦学子联名为凶手求情。你怎么看 杀人事实客观存在，应该维持并执行死刑判决 求个屁的情，一帮傻学生，感情死的不是你的亲人，这种丧心病狂的人留在世界上他还是一样穷凶极恶，必须执行死刑，而且立即执行！他必须要对他自己的行为付出代价！！ 详情:http://t.cn/8sehB4T
13,#复旦投毒案#177名复旦学子联名为凶手求情，你怎么看 杀人事实客观存在，应该维持并执行死刑判决 只要受害人父母不求情 我看只能维持原判 详情:http://t.cn/8se7ILJ
14,#复旦学子为投毒者求情# 杀人事实客观存在，应该维持并执行死刑判决 。法不容情，被害者和被害者家属承受过的痛苦，定要让加害者和其家属再承受一遍，这就是刑法存在的意义。 详情:http://t.cn/8sehB4T
15,#复旦学子为投毒者求情#177名复旦学子联名为凶手求情。你怎么看 杀人事实客观存在，应该维持并执行死刑判决 如果一审是事实清楚、证据充分，完全依照法律作出的判决，就不应该改变。求情请愿并不是法律事实，判决还是应该依法作出。而且要考虑到这起案件的严重社会危害性。 详情:http://t.cn/8sehB4T
